Date,Cases,EN,SA
2021-01-01,26017,0,0
2021-01-02,26142,0,0
2021-01-03,26249,0,0
2021-01-04,26319,0,0
2021-01-05,26423,0,0
2021-01-06,26659,2,0
2021-01-07,26892,2,0
2021-01-08,27060,3,0
2021-01-09,27319,4,0
2021-01-10,27530,4,0
2021-01-11,27617,4,0
2021-01-12,27699,4,0
2021-01-13,27887,7,0
2021-01-14,28075,10,0
2021-01-15,28285,14,0
2021-01-16,28487,17,0
2021-01-17,28677,17,0
2021-01-18,28770,20,0
2021-01-19,28860,29,2
2021-01-20,29028,30,3
2021-01-21,29212,31,4
2021-01-22,29400,37,10
2021-01-23,29591,41,11
2021-01-24,29726,48,12
2021-01-25,29808,51,13
2021-01-26,29860,63,15
2021-01-27,29989,76,16
2021-01-28,30117,78,29
2021-01-29,30249,86,30
2021-01-30,30328,100,33
2021-01-31,30591,109,52
2021-02-01,30688,109,52
2021-02-02,30791,111,52
2021-02-03,30984,135,76
2021-02-04,31049,157,79
2021-02-05,31286,179,82
2021-02-06,31416,179,82
2021-02-07,31551,179,82
2021-02-08,31594,199,87
2021-02-09,31671,221,93
2021-02-10,31790,257,103
2021-02-11,31905,273,110
2021-02-12,32049,287,118
2021-02-13,32165,287,118
2021-02-14,32275,287,118
2021-02-15,32372,321,122
2021-02-16,32443,346,128
2021-02-17,32512,380,130
2021-02-18,32673,423,142
2021-02-19,32783,448,146
2021-02-20,32894,448,146
2021-02-21,33029,448,146
2021-02-22,33108,513,156
2021-02-23,33147,532,157
2021-02-24,33238,584,160
2021-02-25,33385,639,172
2021-02-26,33489,698,172
2021-02-27,33623,698,172
2021-02-28,33763,698,172
2021-03-01,33862,792,182
2021-03-02,33964,847,184
2021-03-03,34105,877,187
